pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
CoRoT-17 b,1,1,3.7681,0.0003,-0.0003,0,0.0461,0.0008,-0.0008,0,772.29,95.34,-95.34,0,2.43,0.3,-0.3,0,0,,,0,G2 V,5740,80,-80,0,1.59,0.07,-0.07,0,1.04,0.1,-0.1,0,0,0.1,-0.1,0,[Fe/H],4.4,0.1,-0.1,0,16.29,0.32,-0.32,12.472,0.054,-0.054,15.4368,0.000524,-0.000524
CoRoT-18 b,1,1,1.9000693,0.0000028,-0.0000028,0,0.0295,0.0016,-0.0016,0,1102.82,120.77,-120.77,0,3.47,0.38,-0.38,0,0.08,,,1,G9 V,5440,100,-100,0,1,0.13,-0.13,0,0.95,0.15,-0.15,0,-0.1,0.1,-0.1,0,[Fe/H],4.4,0.1,-0.1,0,14.868,0.172,-0.172,13.014,0.03,-0.03,14.8009,0.001211,-0.001211
CoRoT-19 b,1,1,3.89713,0.00002,-0.00002,0,0.0518,0.0008,-0.0008,0,352.78,19.07,-19.07,0,1.11,0.06,-0.06,0,0.047,0.045,-0.045,0,F9 V,6090,70,-70,0,1.65,0.04,-0.04,0,1.21,0.05,-0.05,0,-0.02,0.1,-0.1,0,[Fe/H],4.07,0.03,-0.03,0,14.135,0.149,-0.149,11.837,0.024,-0.024,13.7831,0.000558,-0.000558
CoRoT-20 b,1,2,9.24285,0.0003,-0.0003,0,0.0902,0.0021,-0.0021,0,1347.54,73.1,-73.1,0,4.24,0.23,-0.23,0,0.562,0.013,-0.013,0,G2 V,5880,90,-90,0,1.02,0.05,-0.05,0,1.14,0.08,-0.08,0,0.14,0.12,-0.12,0,[Fe/H],4.2,0.15,-0.15,0,14.63,0.092,-0.092,12.513,0.029,-0.029,14.4686,0.000412,-0.000412
CoRoT-21 b,1,1,2.72474,0.00014,-0.00014,0,0.0417,0.0011,-0.0011,0,718.2958,98.5273,-98.5273,0,2.26,0.31,-0.31,0,0,,,0,F8 IV,6200,100,-100,0,1.95,0.21,-0.21,0,1.29,0.09,-0.09,0,0,0.1,-0.1,0,[Fe/H],3.7,0.1,-0.1,0,16.058,0.435,-0.435,13.813,0.054,-0.054,15.8558,0.001968,-0.001968
CoRoT-22 b,1,1,9.75598,0.00011,-0.00011,0,0.092,0.0014,-0.0014,0,12.2,14,-8.8,0,0.038,0.044,-0.028,0,0.077,0.3,-0.042,0,G3 V,5939,54,-120,0,1.136,0.038,-0.09,0,1.099,0.049,-0.049,0,0.17,0.07,-0.12,0,[Fe/H],4.361,0.065,-0.029,0,13.82,0.114,-0.114,11.988,0.026,-0.026,13.7305,0.000304,-0.000304
CoRoT-23 b,1,1,3.6313,0.0001,-0.0001,0,0.048,0.004,-0.004,0,889.9,95.3,-95.3,0,2.8,0.3,-0.3,0,0.16,0.02,-0.02,0,G0 V,5900,100,-100,0,1.61,0.18,-0.18,0,1.14,0.08,-0.08,0,0.05,0.1,-0.1,0,[Fe/H],4.3,0.2,-0.2,0,15.675,0.206,-0.206,12.364,0.032,-0.032,15.0681,0.000409,-0.000409
CoRoT-24 b,1,2,5.1134,0.0006,-0.0006,0,0.056,0.002,-0.002,0,5.7,,,1,0.018,,,1,0,,,0,K1 V,4950,150,-150,0,0.86,0.09,-0.09,0,0.91,0.09,-0.09,0,0.3,0.15,-0.15,0,[Fe/H],4.55,0.15,-0.15,0,15.383,0.114,-0.114,12.924,0.024,-0.024,15.1801,0.000631,-0.000631
CoRoT-24 c,1,2,11.759,0.0063,-0.0063,0,0.098,0.003,-0.003,0,28,11,-11,0,0.088,0.035,-0.035,0,0,,,0,K1 V,4950,150,-150,0,0.86,0.09,-0.09,0,0.91,0.09,-0.09,0,0.3,0.15,-0.15,0,[Fe/H],4.55,0.15,-0.15,0,15.383,0.114,-0.114,12.924,0.024,-0.024,15.1801,0.000631,-0.000631
CoRoT-25 b,1,1,4.86069,0.00006,-0.00006,0,0.0578,0.002,-0.0009,0,85.81,12.71,-12.71,0,0.27,0.04,-0.04,0,0,,,0,F9,6040,90,-90,0,1.19,0.14,-0.03,0,1.09,0.11,-0.05,0,-0.01,0.13,-0.13,0,[Fe/H],4.31,0.05,-0.08,0,14.79,0.172,-0.172,12.846,0.031,-0.031,14.711,0.000339,-0.000339
CoRoT-26 b,1,1,4.20474,0.00005,-0.00005,0,0.0526,0.001,-0.001,0,165.26,15.89,-15.89,0,0.52,0.05,-0.05,0,0,,,0,G5,5590,100,-100,0,1.79,0.18,-0.09,0,1.09,0.06,-0.06,0,0.01,0.13,-0.13,0,[Fe/H],3.99,0.05,-0.08,0,15.861,0.195,-0.195,13.261,0.034,-0.034,15.4682,0.001683,-0.001683
CoRoT-27 b,1,1,3.57532,0.00006,-0.00006,0,0.0476,0.0066,-0.0066,0,3302.11,174.8,-174.8,0,10.39,0.55,-0.55,0,0.065,,,1,G2,5900,120,-120,0,1.08,0.18,-0.06,0,1.05,0.11,-0.11,0,-0.1,0.1,-0.1,0,[M/H],4.4,0.1,-0.1,0,15.774,0.103,-0.103,12.985,0.033,-0.033,15.3902,0.000615,-0.000615
CoRoT-28 b,1,1,5.20851,0.00038,-0.00038,0,0.0603,0.005,-0.005,0,153.82972,27.65121,-27.65121,0,0.484,0.087,-0.087,0,0.047,0.055,-0.038,0,G8/9 IV,5150,100,-100,0,1.78,0.11,-0.11,0,1.01,0.14,-0.14,0,0.15,0.1,-0.1,0,[Fe/H],3.6,0.2,-0.2,0,13.783,0.069,-0.069,11.032,0.025,-0.025,13.4119,0.000393,-0.000393
